ID,ROLES,SALARY,EDUCATION,EXPERIENCE,NOC CODE,TEER,BUSINESS,LOCATIONS,PUBLISHED DATES,EMPLOYMENT TYPE,JOB DURATION,WEEKLY HOURS,VACANCIES,WORK PERMIT
41302248,cook,$17.50,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,Lets Grill Restaurant Ltd,Edmonton (AB),"June 18, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41302247,cleaning supervisor,$26.00,Secondary (high) school graduation certificate,7 months to less than 1 year,62024,2,Cheema Trust Maintenance Ltd.,Edmonton (AB),"June 18, 2024",Full time,Permanent employment,30 hours per week,4,Yes
41302227,child caregiver - private home,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,44100,4,MARY HOPE REYES,Calgary (AB),"June 18, 2024",Full time,Permanent employment,35 to 40 hours per week,1,Yes
41302184,cashier,$16.00,Secondary (high) school graduation certificate,Experience an asset,65100,5,Mega Liquor Store,Calgary (AB),"June 18, 2024",Full time,Permanent employment,35 hours per week,1,No
41302185,retail store supervisor,$22.00,Secondary (high) school graduation certificate,1 to less than 7 months,62010,2,Mega Liquor Store,Calgary (AB),"June 18, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41302164,administrative assistant,$26.00,Secondary (high) school graduation certificate,Experience an asset,13110,3,DREAM COAT DESIGN LTD.,Calgary (AB),"June 18, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41302152,assistant cook,$16.55,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,DENNY'S RESTAURANTS,Kingston (ON),"June 18, 2024",Full time,Permanent employment,35 hours per week,5,No
41301619,"assistant manager, restaurant",0.00,Secondary (high) school graduation certificate,2 years to less than 3 years,60030,0,1561502 Ontario Inc,Harriston (ON),"June 18, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41301567,café manager,$22.00,Secondary (high) school graduation certificate,Will train,60030,0,We The Origin Inc.,Mississauga (ON),"June 18, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41301560,administrative assistant,$25.00,Secondary (high) school graduation certificate,Will train,13110,3,BCB Canada,Fort Erie (ON),"June 18, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41301559,housekeeper,$17.50,"No degree, certificate or diploma",1 to less than 7 months,65310,5,Alessandro,Brantford (ON),"June 18, 2024",Full time,Permanent employment,30 to 35 hours per week,1,Yes
41301251,head dispatcher,$29.00,College/CEGEP,1 year to less than 2 years,12013,2,LOAD KING TRANSPORT INC.,Woodbridge (ON),"June 18, 2024",Full time,Permanent employment,35 hours per week,1,No
41301233,truck driver,$28.00,Secondary (high) school graduation certificate,Experience an asset,73300,3,MJS Logistics Inc.,Calgary (AB),"June 18, 2024",Full time,Permanent employment,32 to 44 hours per week,3,Yes
41301209,personal support aide - medical,$27.76,College/CEGEP,Experience an asset,33102,3,The District Municipality of Muskoka,Various locations,"June 18, 2024",Full time,Permanent employment,38.75 to 44 hours per week,1,Yes
41301208,ethnic food cook,$20.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,2589943 ONTARIO LTD,Ottawa (ON),"June 18, 2024",Full time,Permanent employment,30 to 44 hours per week,1,Yes
41301197,domestic housekeeper,$18.00,"No degree, certificate or diploma",Experience an asset,65310,5,SUZHE LI,North York (ON),"June 18, 2024",Full time,Permanent employment,30 to 44 hours per week,1,Yes
41300748,apprentice carpenter,$32.50,"No degree, certificate or diploma",Will train,72310,2,MAGCOR INC.,Etobicoke (ON),"June 18, 2024",Full time,Permanent employment,37.5 hours per week,3,Yes
41300728,purchasing clerk,$20.00,Bachelor's degree,Will train,14403,4,Metalec Sudbury Inc.,Val Caron (ON),"June 18, 2024",Full time,Permanent employment,40 hours per week,1,No
41299198,software developer,$41.00,Bachelor's degree,Experience an asset,21232,1,AUAV Tech,Calgary (AB),"June 18, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41297134,education program coordinator,$40.00,Bachelor's degree,2 years to less than 3 years,41405,1,Laureate College,Burlington (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,No
41296902,cook,$20.00,"No degree, certificate or diploma",3 years to less than 5 years,63200,3,2684068 Ontario Ltd,London (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,3,Yes
41296662,long haul truck driver,$29.55,Secondary (high) school graduation certificate,Will train,73300,3,Jiya Trucking Ltd.,Nisku (AB),"June 17, 2024",Full time,Permanent employment,40 to 60 hours per week,4,No
41296304,kitchen helper,$29.50,"No degree, certificate or diploma",Experience an asset,65201,5,The Fusion Indian Cuisine,Camrose (AB),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41296266,file manager,0.00,Secondary (high) school graduation certificate,5 years or more,11201,1,AtkinsRéalis Canada Inc.,Etobicoke (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,1,No
41295798,logistics supervisor,$27.00,Secondary (high) school graduation certificate,2 years to less than 3 years,12013,2,10646598 CANADA INCORPORATED,North York (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41295782,shift manager - fast food restaurant,$17.55,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Taco Bell,North York (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,3,Yes
41295335,human resources officer,0.00,College/CEGEP,3 years to less than 5 years,12101,2,NAPA Auto Parts Fort McMurray,Fort McMurray (AB),"June 17, 2024",Full time,Permanent employment,80 hours bi-weekly,1,Yes
41295320,painter,$29.50,Secondary (high) school graduation certificate,7 months to less than 1 year,73112,3,JS GILL CONTRACTING LTD.,Calgary (AB),"June 17, 2024",Full time,Permanent employment,35 to 40 hours per week,2,No
41295315,retail store supervisor,$23.08,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,QUALITY WHOLESALE LIQUIDATION LTD.,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,No
41295297,mechanic helper,$29.50,"No degree, certificate or diploma",Will train,75119,5,North Truck and Trailer Repair Ltd,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,30 to 35 hours per week,2,No
41294959,store clerk,$17.50,Secondary (high) school graduation certificate,7 months to less than 1 year,64100,4,Galaxy trading & contracting,Scarborough (ON),"June 17, 2024",Full time,Permanent employment,32 to 40 hours per week,1,No
41294790,truck driver-supervisor,$38.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 to less than 7 months,72024,2,AIR TRAIN FREIGHT SYSTEMS INC,Mississauga (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,No
41294681,child care provider - private home,$17.70,Secondary (high) school graduation certificate,Experience an asset,44100,4,Ralutin Caregiver Business,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41294672,retail store supervisor,$21.65,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,HG Vintage,Calgary (AB),"June 17, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41294664,heavy-duty equipment technician,$34.13,College/CEGEP,3 years to less than 5 years,72401,2,Battlefield Equipment Rentals,Timmins (ON),"June 17, 2024",Full time,Permanent employment,44 to 50 hours per week,2,Yes
41294634,"supervisor, finishing - plastic products manufacturing",0.00,Secondary (high) school graduation certificate,1 year to less than 2 years,92013,2,Concept Plastics Limited,Brantford (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,No
41294317,sales supervisor - retail,$29.50,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,Number 7 Sales Ltd.,Woodbridge (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41294101,kitchen helper,$16.55,"No degree, certificate or diploma",Will train,65201,5,Joe's Pizza Shop,Limoges (ON),"June 17, 2024",Full time,Permanent employment,48 hours per week,1,Yes
41294056,food service supervisor,$17.50,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 to less than 7 months,62020,2,Four Brothers Cucina Inc.,Niagara Falls (ON),"June 17, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41294037,marketing specialist,$32.31,Bachelor's degree,1 year to less than 2 years,11202,1,Reesink Canada Wholesale Inc,Concord (ON),"June 17, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41294027,food service supervisor,$29.00,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 to less than 7 months,62020,2,Dairyqueen,Midland (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,2,No
41294020,light duty cleaner,$17.25,Secondary (high) school graduation certificate,Will train,65310,5,Tidy Bubblez Inc.,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41293968,administrative assistant,$27.00,Secondary (high) school graduation certificate,1 to less than 7 months,13110,3,GILL PLUMBING & HEATIING LTD,Calgary (AB),"June 17, 2024",Full time,Permanent employment,35 to 40 hours per week,1,Yes
41293568,shift manager - fast food restaurant,$17.55,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,Soul Restaurants Canada Inc,Mississauga (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41293565,cashier,$15.00,"No degree, certificate or diploma",Will train,65100,5,2475581 Alberta LTD,Red Deer (AB),"June 17, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41293535,construction estimator,$33.00,"No degree, certificate or diploma",2 years to less than 3 years,22303,2,CAPELA SURFACES INC.,Etobicoke (ON),"June 17, 2024",Full time,Permanent employment,32 hours per week,1,Yes
41293465,floor covering installer,$25.00,Secondary (high) school graduation certificate,2 years to less than 3 years,73113,3,J J Hardwood Floors Ltd,Chestermere (AB),"June 17, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41293412,"cook, ethnic foods",$15.00,"No degree, certificate or diploma",Will train,63200,3,Saigon Maxim,Calgary (AB),"June 17, 2024",Full time,Permanent employment,80 to 88 hours bi-weekly,2,Yes
41293093,heavy-duty equipment technician,$40.00,Secondary (high) school graduation certificate,3 years to less than 5 years,72401,2,Headwater Equipment Sales Ltd,Coalhurst (AB),"June 17, 2024",Full time,Permanent employment,45 to 55 hours per week,1,Yes
41293043,graphic designer,$33.65,College/CEGEP,2 years to less than 3 years,52120,2,STONEHOUSE,Oakville (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,1,No
41479809,guest service agent,$17.10,Secondary (high) school graduation certificate,Will train,64314,4,1393189 ALBERTA LTD,Calgary (AB),"June 17, 2024",Full time,Permanent employment,30 to 35 hours per week,2,No
41292947,metal fabricator,$33.50,Secondary (high) school graduation certificate,1 year to less than 2 years,72104,2,Hawk Eye Masonry Ltd.,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,40 hours per week,2,No
41292923,coach,$28.50,Secondary (high) school graduation certificate,3 years to less than 5 years,53201,3,Markham Badminton,Markham (ON),"June 17, 2024",Full time,Permanent employment,30 to 44 hours per week,2,No
41479805,logistics coordinator,$26.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 to less than 7 months,13201,3,2611514 ONTARIO INC.,Woodstock (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41292896,stonemason,$50.83,"No degree, certificate or diploma",3 years to less than 5 years,72320,2,CAM Masonry Ltd.,North York (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,3,Yes
41292891,cook,$17.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,SAKURA SUSHI COBOURG,Cobourg (ON),"June 17, 2024",Full time,Permanent employment,30 to 35 hours per week,2,No
41292872,apprentice roofer,$33.77,"No degree, certificate or diploma",Experience an asset,73110,3,Always Roofing Ltd.,Concord (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,2,No
41292546,cashier,$16.00,"No degree, certificate or diploma",Experience an asset,65100,5,Paradise Indoor Golf,Leduc (AB),"June 17, 2024",Full time,Permanent employment,32 hours per week,2,Yes
41292528,order picker,$17.00,"No degree, certificate or diploma",Will train,65102,5,Get Sauced,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41292520,kitchen helper,$15.80,"No degree, certificate or diploma",Will train,65201,5,Signature Palace Restaurant,Calgary (AB),"June 17, 2024",Full time,Permanent employment,30 to 40 hours per week,2,Yes
41292519,truck and transport mechanic,$32.00,Registered Apprenticeship certificate,3 years to less than 5 years,72410,2,Oakes Truck Sales,Perth (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,2,Yes
41292499,heating and cooling mechanic helper,$22.43,"No degree, certificate or diploma",Will train,75119,5,AP Mechanical Ltd,Genesee (AB),"June 17, 2024",Full time,Permanent employment,35 hours per week,2,No
41292487,carpenter helper,$24.00,Secondary (high) school graduation certificate,Will train,75110,5,Holdstock Deck Systems Inc. o/a Candek,Canmore (AB),"June 17, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41292480,administrative assistant,$28.50,Secondary (high) school graduation certificate,7 months to less than 1 year,13110,3,ROYAL LEGACY MARKETING INC,Etobicoke (ON),"June 17, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41292479,concrete finisher,$31.01,Secondary (high) school graduation certificate,3 years to less than 5 years,73100,3,Cemrock Concrete & Construction Ltd.,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,40 hours per week,8,Yes
41292027,food service supervisor,$18.65,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Subway,Edmonton (AB),"June 17, 2024",Full time,Permanent employment,30 to 44 hours per week,1,Yes
41291997,housekeeper,$20.65,Secondary (high) school graduation certificate,1 to less than 7 months,65310,5,MARIEL FERNANDEZ,Calgary (AB),"June 17, 2024",Full time,Permanent employment,38.75 to 40 hours per week,1,No
41291940,customer service clerks supervisor,$34.00,Bachelor's degree,2 years to less than 3 years,62023,2,SYNERGY ALLIANCE CORPORATION,Calgary (AB),"June 17, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41291820,finance officer,$26.00,College/CEGEP,2 years to less than 3 years,12200,2,Shabad Transport Inc.,Woodbridge (ON),"June 17, 2024",Full time,Permanent employment,40 hours per week,1,No
41290943,pharmacy supply assistant,$22.00,Secondary (high) school graduation certificate,1 to less than 7 months,33103,3,Community Care Pharmacy,Port Hope (ON),"June 17, 2024",Full time,Permanent employment,32 to 35 hours per week,1,Yes
41290608,ethnic food cook,$17.00,Secondary (high) school graduation certificate,2 years to less than 3 years,63200,3,Ramen Arashi,Canmore (AB),"June 17, 2024",Full time,Permanent employment,30 to 44 hours per week,3,Yes
41290604,baker,$17.00,Secondary (high) school graduation certificate,2 years to less than 3 years,63202,3,Pacific Hut Bakery,Calgary (AB),"June 17, 2024",Full time,Permanent employment,40 hours per week,3,No
41289726,housekeeper,$18.00,"No degree, certificate or diploma",1 year to less than 2 years,65310,5,Maha Hasnain,Calgary (AB),"June 17, 2024",Full time,Permanent employment,30 hours per week,1,No
41289010,"supervisor, food services",$17.50,Secondary (high) school graduation certificate,1 to less than 7 months,62020,2,Tim Hortons,Fort Erie (ON),"June 16, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41282159,construction material sales representative,$35.00,"No degree, certificate or diploma",2 years to less than 3 years,62100,2,Trigrand Inc.,North York (ON),"June 15, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41463671,administrative assistant,$29.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 year to less than 2 years,13110,3,V-Connect Immigration Inc.,Toronto (ON),"June 15, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41463672,administrative assistant,$30.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 year to less than 2 years,13110,3,GEE ESS ELECTRICAL SERVICES LTD.,Calgary (AB),"June 15, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41278877,food service supervisor,$17.15,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Guy Pritchard Investments Inc,Windsor (ON),"June 14, 2024",Full time,Permanent employment,30 to 44 hours per week,1,Yes
41278745,food service supervisor,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,10735124 CANADA Inc.,Belleville (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41278326,cook,$17.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,Chili Hut,Calgary (AB),"June 14, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41278318,receptionist-clerk,$18.50,Secondary (high) school graduation certificate,Will train,14101,4,Smart Hub Insurance,Edmonton (AB),"June 14, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41278304,cook,$17.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,Haldi Fine Indian Cuisine,Jasper (AB),"June 14, 2024",Full time,Permanent employment,32 to 40 hours per week,4,No
41278256,nail care technician,$19.00,"No degree, certificate or diploma",Will train,63211,3,Q Nails,Spruce Grove (AB),"June 14, 2024",Full time,Permanent employment,35 to 40 hours per week,2,Yes
41278247,chef,$28.50,"No degree, certificate or diploma",3 years to less than 5 years,62200,2,THE CURRY PALACE,Ottawa (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,3,No
41278061,food service supervisor,$18.65,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Domino's Pizza,Edmonton (AB),"June 14, 2024",Full time,Permanent employment,30 to 44 hours per week,1,Yes
41278049,food service supervisor,$17.00,"No degree, certificate or diploma",1 year to less than 2 years,62020,2,Caro Leveillee Pierce Foods Inc.,Guelph (ON),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,3,Yes
41277631,cook,$17.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,Gondola's Steak & Pizza,Lamont (AB),"June 14, 2024",Full time,Permanent employment,40 hours per week,2,No
41277601,financial manager,$58.50,Bachelor's degree,3 years to less than 5 years,10010,0,SUNRISE INFOVISION CORPORATE LTD.,Port Perry (ON),"June 14, 2024",Full time,Permanent employment,42.5 hours per week,1,No
41277594,truck drivers supervisor,$37.00,Secondary (high) school graduation certificate,1 year to less than 2 years,72024,2,Air and Oceanland Inc,Brampton (ON),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,2,No
41277587,fibreglass boat assembly repairer,$18.15,Secondary (high) school graduation certificate,7 months to less than 1 year,94219,4,MAPLE LEAF MARINAS HOLDINGS GP INC.,Midland (ON),"June 14, 2024",Full time,Permanent employment,35 hours per week,2,No
41277574,carpenter,$30.00,Secondary (high) school graduation certificate,1 year to less than 2 years,72310,2,JATTANA CONSTRUCTION LTD.,Chestermere (AB),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,2,Yes
41277563,food service supervisor,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Hot Million Indian Cuisine,Calgary (AB),"June 14, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41277298,restaurant supervisor,$29.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Rajhani Sweets & restaurant,Etobicoke (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41277023,civil engineering design technologist,0.00,Bachelor's degree,1 year to less than 2 years,22300,2,Fomento de Construcciones y Contratas Canada Ltd.,Scarborough (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41277007,home support worker,$19.00,Secondary (high) school graduation certificate,1 year to less than 2 years,44101,4,Judy Barbour,Schomberg (ON),"June 14, 2024",Full time,Permanent employment,30 hours per week,2,Yes
41276806,food service supervisor,$19.00,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,Petro Canada and A & W Restaurant,Brampton (ON),"June 14, 2024",Full time,Permanent employment,35 to 40 hours per week,1,Yes
41276780,MIG (metal inert gas) welder,$26.00,Other trades certificate or diploma,1 year to less than 2 years,72106,2,ABC FIRE DOOR,Mississauga (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,No
41276745,administrative assistant,$25.64,Secondary (high) school graduation certificate,1 year to less than 2 years,13110,3,HAKT CORP,Edmonton (AB),"June 14, 2024",Full time,Permanent employment,32 hours per week,1,No
41488312,retail store supervisor,$23.10,Secondary (high) school graduation certificate,1 to less than 7 months,62010,2,2521886 Alberta Ltd.,Edmonton (AB),"June 14, 2024",Full time,Term or contract,32 to 40 hours per week,1,No
41276729,sous-chef,$20.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62200,2,Mcewan Enterprises Inc.,Thornbury (ON),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,5,Yes
41276689,financial accountant,0.00,Bachelor's degree,5 years or more,11100,1,Rentsync,St. Catharines (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41276670,administrative assistant,$28.40,Secondary (high) school graduation certificate,1 year to less than 2 years,13110,3,Mount Alverno Resort and Retreat,Caledon Village (ON),"June 14, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41276641,heavy-duty cleaner,$20.57,Secondary (high) school graduation certificate,7 months to less than 1 year,65312,5,Cork And Crisp Incorporated,Toronto (ON),"June 14, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41276588,automotive body repairer-painter,$26.25,Secondary (high) school graduation certificate,1 year to less than 2 years,72411,2,SITRADE,Oakville (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41276132,marble mechanic,$42.22,Secondary (high) school graduation certificate,2 years to less than 3 years,73101,3,York Marble,North York (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,13,No
41276116,construction electrician,$35.00,Secondary (high) school graduation certificate,2 years to less than 3 years,72200,2,Dnepr Construction Ltd.,Concord (ON),"June 14, 2024",Full time,Permanent employment,35 hours per week,2,No
41276114,data administrator,$42.56,Bachelor's degree,1 year to less than 2 years,21223,1,Talent Employment Inc,North York (ON),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41276108,long haul truck driver,$29.00,Secondary (high) school graduation certificate,Will train,73300,3,HONEYBEE TRANSPORTATION INCORP,Windsor (ON),"June 14, 2024",Full time,Permanent employment,50 hours per week,5,No
41276105,cleaner,$30.00,Secondary (high) school graduation certificate,1 year to less than 2 years,65310,5,Palca 86 Cleaning Services Inc.,Calgary (AB),"June 14, 2024",Full time,Permanent employment,30 hours per week,4,No
41276082,drywall installer and finisher,$29.00,"No degree, certificate or diploma",3 years to less than 5 years,73102,3,Specialized Garage Inc.,Calgary (AB),"June 14, 2024",Full time,Permanent employment,40 to 44 hours per week,2,Yes
41376578,food service supervisor,$17.30,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Panago,Camrose (AB),"June 14, 2024",Full time,Permanent employment,35 to 44 hours per week,2,Yes
41276064,corporate sales manager,$58.00,Bachelor's degree,5 years or more,60010,0,Epsilon Solutions LTD.,Etobicoke (ON),"June 14, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41536980,food service supervisor,$17.00,Secondary (high) school graduation certificate,2 years to less than 3 years,62020,2,Harvey’s 2733,Kingston (ON),"June 14, 2024",Full time,Permanent employment,35 hours per week,1,No
41536981,cook,$16.75,Secondary (high) school graduation certificate,1 to less than 7 months,63200,3,Harveys,Wasaga Beach (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,No
41276002,office administrator,$28.40,Secondary (high) school graduation certificate,Experience an asset,13100,3,ASL Global Logistics,Brampton (ON),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41275615,food service supervisor,$18.65,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,TIM HORTONS,Sherwood Park (AB),"June 14, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41274681,information technology (IT) support technician,$29.50,College/CEGEP,3 years to less than 5 years,22221,2,TAPPCONNECT INC.,Edmonton (AB),"June 14, 2024",Full time,Permanent employment,40 hours per week,2,Yes
41274654,architectural design technician,$31.50,Bachelor's degree,3 years to less than 5 years,22210,2,Quantum Passivhaus,Minden (ON),"June 14, 2024",Full time,Permanent employment,42.5 hours per week,1,No
41274630,welder,$25.20,Secondary (high) school graduation certificate,3 years to less than 5 years,72106,2,PermaCorp Group of Companies Inc.,London (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41274209,heavy-duty equipment technician,$38.48,Other trades certificate or diploma,3 years to less than 5 years,72401,2,Toromont Cat,Timmins (ON),"June 14, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41274192,nail care technician,$20.00,"No degree, certificate or diploma",Will train,63211,3,TM Nails,Blackfalds (AB),"June 14, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41274184,food service supervisor,$17.00,"No degree, certificate or diploma",1 year to less than 2 years,62020,2,Persson Food Services Inc.,Taber (AB),"June 14, 2024",Full time,Permanent employment,40 hours per week,5,Yes
41274098,first cook,$16.55,"No degree, certificate or diploma",1 year to less than 2 years,63200,3,Piano Piano,Toronto (ON),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,3,Yes
41273438,machining and tooling inspector,$29.00,College/CEGEP,2 years to less than 3 years,72100,2,GOULD FASTENERS LIMITED,Mississauga (ON),"June 14, 2024",Full time,Permanent employment,30 to 44 hours per week,3,Yes
41273433,nail care technician,$20.00,Secondary (high) school graduation certificate,7 months to less than 1 year,63211,3,Glamour Nails & Spa,Cochrane (AB),"June 14, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41456916,retail store supervisor,$21.63,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,PLATINA LIQUOR INC.,Airdrie (AB),"June 13, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41269046,cosmetician,$17.50,Secondary (high) school graduation certificate,Experience an asset,63211,3,ALISHA SALOON & SPA,Mississauga (ON),"June 13, 2024",Full time,Permanent employment,30 to 40 hours per week,2,No
41268581,truck driver,$29.00,Secondary (high) school graduation certificate,Experience an asset,73300,3,Blue Lines,Brampton (ON),"June 13, 2024",Full time,Permanent employment,35 to 40 hours per week,4,No
41268264,home health care worker,$19.00,Secondary (high) school graduation certificate,1 to less than 7 months,44101,4,SIMIN FAMILY,Etobicoke (ON),"June 13, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41268199,chef de partie,$21.00,"No degree, certificate or diploma",7 months to less than 1 year,62200,2,Amano Trattoria,Toronto (ON),"June 13, 2024",Full time,Permanent employment,30 to 35 hours per week,1,No
41268198,grocery store butcher,$18.50,"No degree, certificate or diploma",Will train,63201,3,1000057937 Ontario Inc.,Osgoode (ON),"June 13, 2024",Full time,Permanent employment,40 hours per week,1,No
41268113,framer-carpenter,$30.00,"No degree, certificate or diploma",2 years to less than 3 years,72310,2,1535290Ontario  Ltd,New Dundee (ON),"June 13, 2024",Full time,Permanent employment,44 hours per week,2,Yes
41268110,truck driver,$28.50,Secondary (high) school graduation certificate,Experience an asset,73300,3,Action Force Transport Ltd,Brampton (ON),"June 13, 2024",Full time,Permanent employment,30 to 40 hours per week,5,No
41268105,baker,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63202,3,TIM HORTONS,Edmonton (AB),"June 13, 2024",Full time,Permanent employment,32 hours per week,1,No
41268068,truck mechanic,$34.00,Secondary (high) school graduation certificate,3 years to less than 5 years,72410,2,Connect Transport Ltd,Edmonton (AB),"June 13, 2024",Full time,Permanent employment,35 hours per week,2,No
41268066,retail store supervisor,$21.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,Mac's Convenience Store,Fort McMurray (AB),"June 13, 2024",Full time,Permanent employment,32 hours per week,2,No
41268049,air conditioning and refrigeration mechanic,$42.25,College/CEGEP,5 years or more,72402,2,Canadian Curtis Inc,Stoney Creek (ON),"June 13, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41268050,bookkeeper,$26.00,Secondary (high) school graduation certificate,1 to less than 7 months,12200,2,R.N.G. Transport Inc.,Caledon (ON),"June 13, 2024",Full time,Permanent employment,35 to 40 hours per week,1,Yes
